#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2008.84110,,29.77000,,
2008.86810,,32.37000,30.79000,
2008.89530,,31.07000,28.89000,
2008.92240,,,32.49000,
2008.92250,,33.47000,,
2008.94960,,27.37000,26.89000,
2008.97680,,,24.19000,
2008.97690,,24.27000,,
2009.00390,,25.17000,24.79000,
2009.03100,,24.77000,,
2009.03160,,,24.19000,
2009.05820,,23.07000,22.69000,
2009.08530,,,21.09000,
2009.11240,,,18.09000,
2009.12670,,17.87000,,
2009.13960,,,19.39000,
2009.15310,,20.47000,,
2009.16670,,,20.19000,
2009.18030,,23.37000,,
2009.19390,,,20.69000,
2009.20740,,23.67000,,
2009.22100,,,20.99000,
2009.23460,,22.97000,,
2009.24820,,,20.69000,
2009.26180,,21.77000,,
2009.27530,,,19.79000,
2009.28890,,19.27000,,
2009.30250,,,20.19000,
2009.31600,,21.37000,,
2009.32960,,,20.19000,
2009.34320,,23.27000,,
2009.35670,,,19.49000,
2009.37030,,19.37000,,
2009.38390,,,18.49000,
2009.39750,,19.47000,,
2009.41070,,,17.89000,
2009.42460,,19.17000,,
2009.43820,,,20.09000,
2009.45180,,23.17000,,
2009.46530,,,20.99000,
2009.47890,,20.67000,,
2009.49250,,,19.69000,
2009.50610,,20.97000,,
2009.51970,,,18.59000,
2009.53320,,21.67000,,
2009.54680,,,20.99000,
2009.56040,,25.77000,,
2009.57400,,,25.79000,
2009.58750,,26.17000,,
2009.60110,,,23.99000,
2009.61470,,25.57000,,
2009.62830,,,26.39000,
2009.64180,,26.27000,,
2009.65540,,,27.99000,
2009.66900,,29.87000,,
2009.68260,,,30.09000,
2009.69470,,33.97000,,
2009.70970,,,34.19000,
2009.73600,,30.37000,,
2009.73690,,,34.59000,
2009.75040,,36.47000,,
2009.76400,,,34.59000,
2009.77760,,35.97000,,
2009.79110,,,36.09000,
2009.80470,,35.67000,,
2009.81840,,,36.59000,
2009.83190,,38.27000,,
2009.84550,,,36.09000,
2009.85900,,34.47000,,
2009.87260,,,32.09000,
2009.88620,,34.57000,,
2009.89980,,,33.89000,
2009.91330,,34.47000,,
2009.92690,,,31.99000,
2009.94050,,32.87000,,
2009.95400,,,28.99000,
2009.96760,,32.27000,,
2009.98120,,,32.49000,
2009.99480,,30.77000,,
2010.00840,,,28.29000,
2010.02190,,30.77000,,
2010.03550,,,26.59000,
2010.04910,,26.67000,,
2010.06260,,,24.69000,
2010.07620,,21.57000,,
2010.08980,,,20.19000,
2010.10330,,22.67000,,
2010.11700,,,23.59000,
2010.13050,,25.97000,,
2010.14410,,,25.39000,
2010.15760,,27.67000,,
2010.17120,,,28.49000,
2010.18500,,26.67000,,
2010.19830,,,21.89000,
2010.21200,,22.17000,,
2010.22550,,,22.09000,
2010.23900,,22.17000,,
2010.25270,,,21.59000,
2010.26550,,21.67000,,
2010.27990,,,23.99000,
2010.29350,,26.97000,,
2010.30690,,,23.99000,
2010.32050,,24.27000,,
2010.33410,,,20.99000,
2010.34770,,22.87000,,
2010.36120,,,20.89000,
2010.37480,,24.17000,,
2010.38840,,,24.99000,
2010.40190,,22.47000,,
2010.41550,,,24.89000,
2010.42770,,23.47000,,
2010.44270,,,25.09000,
2010.45620,,25.47000,,
2010.46980,,,25.79000,
2010.48330,,24.27000,,
2010.49700,,,25.99000,
2010.51050,,23.37000,,
2010.52420,,,26.39000,
2010.53770,,25.77000,,
2010.55130,,,27.89000,
2010.56390,,26.77000,,
2010.57840,,,26.99000,
2010.59200,,27.87000,,
2010.60550,,,26.69000,
2010.61920,,31.67000,,
2010.63280,,,29.19000,
2010.64630,,29.57000,,
2010.65990,,,26.89000,
2010.67330,,29.07000,,
2010.68700,,,29.89000,
2010.70060,,30.47000,,
2010.71420,,,30.59000,
2010.72770,,31.17000,,
2010.74140,,,30.79000,
2010.75490,,30.67000,,
2010.76850,,,32.59000,
2010.78200,,33.47000,,
2010.79560,,,36.19000,
2010.80920,,37.47000,,
2010.82280,,,34.39000,
2010.83640,,36.87000,,
2010.84990,,,33.29000,
2010.86350,,34.17000,,
2010.87710,,,33.79000,
2010.89060,,29.57000,,
2010.90430,,,28.89000,
2010.91780,,27.27000,,
2010.93140,,,29.09000,
2010.94490,,29.17000,,
2010.95860,,,27.59000,
2010.97210,,29.87000,,
2010.98570,,,28.79000,
2010.99930,,28.57000,,
2011.01290,,,25.19000,
2011.02640,,23.97000,,
2011.03990,,,23.49000,
2011.05360,,22.57000,,
2011.06710,,,24.29000,
2011.08070,,24.27000,,
2011.09430,,,21.89000,
2011.10780,,21.37000,,
2011.12140,,,20.19000,
2011.13500,,21.37000,,
2011.14860,,,20.39000,
2011.16210,,21.07000,,
2011.17570,,,20.49000,
2011.18920,,19.67000,,
2011.20290,,,20.19000,
2011.21640,,18.47000,,
2011.23000,,,17.69000,
2011.24360,,18.97000,,
2011.25710,,,19.29000,
2011.27050,,18.87000,,
2011.28430,,,19.29000,
2011.29780,,18.57000,,
2011.31150,,,18.59000,
2011.32500,,17.07000,,
2011.33860,,,15.59000,
2011.35210,,17.07000,,
2011.36570,,,18.99000,
2011.37930,,16.47000,,
2011.39290,,,19.79000,
2011.40640,,19.57000,,
2011.42000,,,19.89000,
2011.43360,,20.27000,,
2011.44710,,,20.69000,
2011.46070,,21.27000,,
2011.47430,,,23.39000,
2011.48790,,21.47000,,
2011.50140,,,21.99000,
2011.51510,,20.77000,,
2011.52860,,,21.99000,
2011.54210,,19.47000,,
2011.55580,,,22.09000,
2011.56930,,22.57000,,
2011.58300,,,24.29000,
2011.59650,,25.67000,,
